confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
11	1	1	1	1	0.9920684862270145	0.9920684862270145	-110.99030277997983	N/A	59.099325914826366	C14H18N2O4	[M + H]+	OIDKVWTWGDWMHY	InChI=1S/C14H18N2O4/c17-10-5-3-9(4-6-10)8-12(14(19)20)16-13(18)11-2-1-7-15-11/h3-6,11-12,15,17H,1-2,7-8H2,(H,16,18)(H,19,20)		C1CC(NC1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.89159507	103870734;103870774;22395834;7408108;6426998;56846481;515715;61160205;152264;71419916;44369194	COCONUT:(CNP0460083);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029029);METACYC:(CPD-23021);CHEBI:(74799);SUPERNATURAL:(SN0266045);MESH:(152264 7408108);PUBCHEM:(103870734 103870774 22395834 7408108 6426998 56846481 515715 61160205 152264 71419916 44369194);FooDB:(FDB112037);DSSTox:(DTXSID30173493 DTXSID60839131);PUBMED	137995749486	279.13417	39.303451285003646	241_mzmine_results_sirius_1227	1227
12	1	1	1	1	0.9920354871793531	0.9914976332557475	-6.3619247189650965	N/A	72.90151273493832	C13H18N2O4	[M + H]+	IQHUITKNHOKGFC	InChI=1S/C13H18N2O4/c1-8(16)11(14)12(17)15-10(13(18)19)7-9-5-3-2-4-6-9/h2-6,8,10-11,16H,7,14H2,1H3,(H,15,17)(H,18,19)		CC(C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N)O	-0.05999885	4099798;4099799;67191348;7010579;7010580;124433154;124486009;6426952;92211174;92211175	COCONUT:(CNP0450240);HMDB:(HMDB0029068);BloodExposome:(7010580);CHEBI:(74862);SUPERNATURAL:(SN0152431);PUBCHEM:(4099798 4099799 67191348 7010579 7010580 124433154 124486009 6426952 92211174 92211175);FooDB:(FDB112074);GNPS:(CCMSLIB00003139262);LOTUS:(Q27144972);TRAIN;PUBMED	812666986	267.13381	57.87143505096436	462_mzmine_results_sirius_2187	2187
13	1	1	1	1	0.9919956396077432	0.9914551179042579	-12.249210137743143	N/A	72.45913418312685	C13H18N2O4	[M + H]+	IQHUITKNHOKGFC	InChI=1S/C13H18N2O4/c1-8(16)11(14)12(17)15-10(13(18)19)7-9-5-3-2-4-6-9/h2-6,8,10-11,16H,7,14H2,1H3,(H,15,17)(H,18,19)		CC(C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N)O	-0.05999885	4099798;4099799;67191348;7010579;7010580;124433154;124486009;6426952;92211174;92211175	COCONUT:(CNP0450240);HMDB:(HMDB0029068);BloodExposome:(7010580);CHEBI:(74862);SUPERNATURAL:(SN0152431);PUBCHEM:(4099798 4099799 67191348 7010579 7010580 124433154 124486009 6426952 92211174 92211175);FooDB:(FDB112074);GNPS:(CCMSLIB00003139262);LOTUS:(Q27144972);TRAIN;PUBMED	812666986	267.13417	72.4778125	644_mzmine_results_sirius_2967	2967
14	1	1	1	1	0.9912652563475864	0.9912652563475864	-22.72994104187824	N/A	40.783066982242026	C10H14N2O4	[M + H]+	PFEJJYZYEFRQEA	InChI=1S/C10H14N2O4/c13-8-4-3-6(11-8)9(14)12-5-1-2-7(12)10(15)16/h6-7H,1-5H2,(H,11,13)(H,15,16)	1-(5-oxopyrrolidine-2-carbonyl)pyrrolidine-2-carboxylic acid	C1CC(N(C1)C(=O)C2CCC(=O)N2)C(=O)O	-0.7	103804010;103804016;40418665;28171629;28171632;78922150;61137554;13306588;13306589	COCONUT:(CNP0152464);SUPERNATURAL:(SN0283781);PUBCHEM:(103804010 103804016 40418665 28171629 28171632 78922150 61137554 13306588 13306589);GNPS:(CCMSLIB00003135898 CCMSLIB00003136252);DSSTox:(DTXSID40536030);TRAIN	137442119682	227.1025	45.776270980834965	310_mzmine_results_sirius_1534	1534
15	1	1	1	1	0.9910639004748693	0.9910639004748693	-36.758604469916186	N/A	42.70292627304343	C13H18N2O5	[M + H]+	MFEVVAXTBZELLL	InChI=1S/C13H18N2O5/c1-7(16)11(13(19)20)15-12(18)10(14)6-8-2-4-9(17)5-3-8/h2-5,7,10-11,16-17H,6,14H2,1H3,(H,15,18)(H,19,20)	2-[[(2R)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-3-hydroxybutanoic acid	CC(C(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N)O	-0.48276636	14522584;14522585;145453503;25206828;104904940;104965277;104965346;61156779	HMDB:(HMDB0029115);BloodExposome:(14522584);CHEBI:(141458 174005);SUPERNATURAL:(SN0223971);PUBCHEM:(14522584 14522585 145453503 25206828 104904940 104965277 104965346 61156779);FooDB:(FDB112118)	542113834	283.12654	23.1559375	74_mzmine_results_sirius_343	343
16	1	1	1	1	0.9906038951496445	0.9906038951496445	-33.531945265972496	N/A	67.51411899463281	C14H18N2O2	[M + H]+	OQQPOHUVAQPSHJ	InChI=1S/C14H18N2O2/c1-9(2)12-14(18)15-11(13(17)16-12)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8H2,1-2H3,(H,15,18)(H,16,17)	Cyclo(Lphe-L-Val)	CC(C)C1C(=O)NC(C(=O)N1)CC2=CC=CC=C2	2.0	101387262;101445018;124306184;119080984;25239959;13783105;11139486;139766	COCONUT:(CNP0311162);SUPERNATURAL:(SN0272688);PUBCHEM:(101387262 101445018 124306184 119080984 25239959 13783105 11139486 139766);LOTUS:(Q82908094 Q105197137);DSSTox:(DTXSID501178633 DTXSID60932398);TRAIN;PUBMED	137710551106	247.14337	119.46199980467559	1098_mzmine_results_sirius_5074	5074
17	1	1	1	1	0.9905922833165307	0.9905922833165307	-85.30631224801625	N/A	77.44096819992401	C14H16N2O4	[M + H]+	XCEZCXFVJLMPKG	InChI=1S/C14H16N2O4/c17-12-7-6-10(15-12)13(18)16-11(14(19)20)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8H2,(H,15,17)(H,16,18)(H,19,20)	2-[(5-oxopyrrolidin-2-yl)formamido]-3-phenylpropanoic acid	C1CC(=O)NC1C(=O)NC(CC2=CC=CC=C2)C(=O)O	0.6	103804333;40428046;28214674;28214676;7408330;7408331;61137305;13961383;106832122;106832124	COCONUT:(CNP0187663);CHEBI:(191160);SUPERNATURAL:(SN0426203);PUBCHEM:(103804333 40428046 28214674 28214676 7408330 7408331 61137305 13961383 106832122 106832124);GNPS:(CCMSLIB00003137591 CCMSLIB00003135167);TRAIN	3166242	277.11768	74.54970458984374	670_mzmine_results_sirius_3076	3076
18	1	1	1	1	0.9904570177659168	0.9904570177659168	-99.83518913712503	N/A	52.838297774405305	C14H20N2O4	[M + H]+	VEYJKJORLPYVLO	InChI=1S/C14H20N2O4/c1-8(2)12(15)13(18)16-11(14(19)20)7-9-3-5-10(17)6-4-9/h3-6,8,11-12,17H,7,15H2,1-2H3,(H,16,18)(H,19,20)	2-(2-amino-3-methylbutanamido)-3-(4-hydroxyphenyl)propanoic acid	CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N	0.6850284	103870727;4065033;40492425;40492428;40492430;7009554;7009555;141559182;61158268;61160389;79013158;44369269	COCONUT:(CNP0054751);HMDB:(HMDB0029139);BloodExposome:(7009555 4065033);CHEBI:(73703 177417);SUPERNATURAL:(SN0388474);MESH:(7009555);PUBCHEM:(103870727 4065033 40492425 40492428 40492430 7009554 7009555 141559182 61158268 61160389 79013158 44369269);FooDB:(FDB112140);LOTUS:(Q27143866);DSSTox:(DTXSID50874591);PUBMED	138251599982	281.14992	58.36836553573608	461_mzmine_results_sirius_2186	2186
19	1	1	1	1	0.9902429004954437	0.9902429004954437	-55.26299408057925	N/A	38.2925155037573	C14H20N2O4	[M + H]+	VEYJKJORLPYVLO	InChI=1S/C14H20N2O4/c1-8(2)12(15)13(18)16-11(14(19)20)7-9-3-5-10(17)6-4-9/h3-6,8,11-12,17H,7,15H2,1-2H3,(H,16,18)(H,19,20)	2-(2-amino-3-methylbutanamido)-3-(4-hydroxyphenyl)propanoic acid	CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N	0.6850284	103870727;4065033;40492425;40492428;40492430;7009554;7009555;141559182;61158268;61160389;79013158;44369269	COCONUT:(CNP0054751);HMDB:(HMDB0029139);BloodExposome:(7009555 4065033);CHEBI:(73703 177417);SUPERNATURAL:(SN0388474);MESH:(7009555);PUBCHEM:(103870727 4065033 40492425 40492428 40492430 7009554 7009555 141559182 61158268 61160389 79013158 44369269);FooDB:(FDB112140);LOTUS:(Q27143866);DSSTox:(DTXSID50874591);PUBMED	138251599982	281.14896	58.235	533_mzmine_results_sirius_2508	2508
20	1	1	1	1	0.9902254752420627	0.9903210800747888	-29.173114507770794	N/A	50.78520507188185	C18H20N2O3	[M + H]+	GKZIWHRNKRBEOH	InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)	Phe-Phe	C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	2.0443695	154514881;101361980;102532464;6993089;6993090;6993091;163322681;129853212;101521825;6426953;153828841;70064327;36688992;36688993;36688994;36688995;65104;44369305	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0013302);BloodExposome:(65104);SUPERNATURAL:(SN0108507);MESH:(65104 6993090);PUBCHEM:(154514881 101361980 102532464 6993089 6993090 6993091 163322681 129853212 101521825 6426953 153828841 70064327 36688992 36688993 36688994 36688995 65104 44369305);FooDB:(FDB029369);GNPS:(CCMSLIB00003134654 CCMSLIB00003134837);TRAIN;NORMAN:(NS00045604);COCONUT:(CNP0348037);CHEBI:(72723 191205);DSSTox:(DTXSID00653191 DTXSID60423791 DTXSID60653192 DTXSID80948633);PUBCHEMANNOTATIONDRUG;PUBMED	138033778798	313.15502	98.88518974304199	925_mzmine_results_sirius_4232	4232
21	1	1	1	1	0.9901238018027431	0.9901238018027431	-53.3163404868521	N/A	56.58070643531177	C18H18N2O4	[M + H]+	NGPCLOGFGKJCBP	InChI=1S/C18H18N2O4/c21-13-5-1-11(2-6-13)9-15-17(23)20-16(18(24)19-15)10-12-3-7-14(22)8-4-12/h1-8,15-16,21-22H,9-10H2,(H,19,24)(H,20,23)	3,6-bis[(4-hydroxyphenyl)methyl]piperazine-2,5-dione	C1=CC(=CC=C1CC2C(=O)NC(C(=O)N2)CC3=CC=C(C=C3)O)O	2.0	102375263;59269972;59269973;11267350;192816	PUBCHEMANNOTATIONBIO;SUPERNATURAL:(SN0244973);MESH:(192816);PUBCHEM:(102375263 59269972 59269973 11267350 192816);NORMAN:(NS00068711);COCONUT:(CNP0283873);METACYC:(CPD-15209);CHEBI:(65048 65063);KEGG:(C20516);LOTUS:(Q105179065 Q27097946);DSSTox:(DTXSID001310862 DTXSID90971679);PUBCHEMANNOTATIONDRUG;PUBMED	137761130854	327.1329	66.10127059936525	567_mzmine_results_sirius_2650	2650
22	1	1	1	1	0.990013099738976	0.990013099738976	-30.469388967194355	N/A	46.277633106426684	C10H16N2O2	[M + H]+	XLUAWXQORJEMBD	InChI=1S/C10H16N2O2/c1-6(2)8-10(14)12-5-3-4-7(12)9(13)11-8/h6-8H,3-5H2,1-2H3,(H,11,13)	3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione	CC(C)C1C(=O)N2CCCC2C(=O)N1	0.8	21776426;6545869;6992260;6992261;102190978;102491879;927560;10821724;98951	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0240493);SUPERNATURAL:(SN0433713);MESH:(98951 6992261);PUBCHEM:(21776426 6545869 6992260 6992261 102190978 102491879 927560 10821724 98951);FooDB:(FDB093683);GNPS:(CCMSLIB00000845309);TRAIN;COCONUT:(CNP0261443);CHEBI:(181001 69439);LOTUS:(Q82955676 Q105330399 Q27137780 Q105330397 Q77521278);DSSTox:(DTXSID201159678 DTXSID20971985 DTXSID40426301);KNAPSACK:(XLUAWXQORJEMBD-UHFFFAOYSA-N);PUBMED	138264203390	197.12869	73.58	711_mzmine_results_sirius_3253	3253
23	1	1	1	1	0.9899370976752688	0.9900354947514662	-27.751718962255122	N/A	50.430200613031154	C18H20N2O3	[M + H]+	GKZIWHRNKRBEOH	InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)	Phe-Phe	C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	2.0443695	154514881;101361980;102532464;6993089;6993090;6993091;163322681;129853212;101521825;6426953;153828841;70064327;36688992;36688993;36688994;36688995;65104;44369305	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0013302);BloodExposome:(65104);SUPERNATURAL:(SN0108507);MESH:(65104 6993090);PUBCHEM:(154514881 101361980 102532464 6993089 6993090 6993091 163322681 129853212 101521825 6426953 153828841 70064327 36688992 36688993 36688994 36688995 65104 44369305);FooDB:(FDB029369);GNPS:(CCMSLIB00003134654 CCMSLIB00003134837);TRAIN;NORMAN:(NS00045604);COCONUT:(CNP0348037);CHEBI:(72723 191205);DSSTox:(DTXSID00653191 DTXSID60423791 DTXSID60653192 DTXSID80948633);PUBCHEMANNOTATIONDRUG;PUBMED	138033778798	313.15397	123.56868228118401	1131_mzmine_results_sirius_5186	5186
24	1	1	1	1	0.9894778063089217	0.9932822161510381	-62.14534814927053	N/A	57.15949834893929	C14H16N2O2	[M + H]+	QZBUWPVZSXDWSB	InChI=1S/C14H16N2O2/c17-13-12-7-4-8-16(12)14(18)11(15-13)9-10-5-2-1-3-6-10/h1-3,5-6,11-12H,4,7-9H2,(H,15,17)	3-benzyl-octahydropyrrolo[1,2-a]pyrazine-1,4-dione	C1CC2C(=O)NC(C(=O)N2C1)CC3=CC=CC=C3	1.4	9837725;6992198;6992199;6427771;155025348;99895;443440	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0250631);BloodExposome:(443440);SUPERNATURAL:(SN0319073);MESH:(99895 443440 6427771);PUBCHEM:(9837725 6992198 6992199 6427771 155025348 99895 443440);GNPS:(CCMSLIB00000854763);TRAIN;NORMAN:(NS00047284 NS00097186);COCONUT:(CNP0184686);METACYC:(CPD-20365);CHEBI:(69440);KEGG:(C11847);LOTUS:(Q82908802 Q27104973 Q105231630 Q105231602 Q77279979);DSSTox:(DTXSID101316106 DTXSID30933019);KNAPSACK:(QZBUWPVZSXDWSB-UHFFFAOYSA-N);PUBMED	137731791230	245.12884	102.93380319237377	963_mzmine_results_sirius_4425	4425
25	1	1	1	1	0.988977900544027	0.988977900544027	-76.3550133362757	N/A	62.529784301814885	C12H18N4O2	[M + H]+	QYFSHTYKVAOVJM	InChI=1S/C12H18N4O2/c1-7(2)3-9-11(17)16-10(12(18)15-9)4-8-5-13-6-14-8/h5-7,9-10H,3-4H2,1-2H3,(H,13,14)(H,15,18)(H,16,17)	Cis-Cyclo-(His,Leu)	CC(C)CC1C(=O)NC(C(=O)N1)CC2=CN=CN2	0.6	101013136;14132660;6453155;44566905	COCONUT:(CNP0125082);MiMeDB:(MMDBc0018650);SUPERNATURAL:(SN0318380);MESH:(6453155);PUBCHEM:(101013136 14132660 6453155 44566905);LOTUS:(Q83077184);DSSTox:(DTXSID70203763);PUBMED	138784276550	251.15052	46.552991653415376	325_mzmine_results_sirius_1637	1637
26	1	1	1	1	0.9888995660534572	0.9939615734236628	-13.311700988542498	N/A	44.685827598696626	C10H20N2O3	[M + H]+	KRNYOVHEKOBTEF	InChI=1S/C10H20N2O3/c1-5(2)7(11)9(13)12-8(6(3)4)10(14)15/h5-8H,11H2,1-4H3,(H,12,13)(H,14,15)	Val-Val	CC(C)C(C(=O)NC(C(C)C)C(=O)O)N	0.17122224	4280382;6997289;6997290;6997291;6997292;6997293;6997294;154464198;129639406;129643457;6427011;148549526;61157157;61172248;107475;79009906;79012985;409682	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029140);BloodExposome:(107475 409682);SUPERNATURAL:(SN0193506);MESH:(107475 409682);PUBCHEM:(4280382 6997289 6997290 6997291 6997292 6997293 6997294 154464198 129639406 129643457 6427011 148549526 61157157 61172248 107475 79009906 79012985 409682);FooDB:(FDB112141);GNPS:(CCMSLIB00003138336 CCMSLIB00003136667);COCONUT:(CNP0082603);CHEBI:(176461 73704);LOTUS:(Q27143934);DSSTox:(DTXSID40423794 DTXSID40959967 DTXSID80426421);PUBCHEMANNOTATIONDRUG;PUBMED	138301935726	217.15491	72.24249400436878	645_mzmine_results_sirius_2968	2968
