structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	featureId
1	2	0.1397892842923879	0.1397892842923879	-143.45003840809	nul	41.126	C9H16N2O2	[M + H3N + H]+	C9H20N3O2+	DMXGDHINDUZNDJ	InChI=1S/C9H16N2O2/c1-3-9(4-2)7(12)10-5-6-11-8(9)13/h3-6H2,1-2H3,(H,10,12)(H,11,13)	1H-1,4-Diazepine-5,7(2H,6H)-dione, dihydro-6,6-diethyl-	CCC1(C(=O)NCCNC1=O)CC	0.400	281607	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(281607);DSSTox:(DTXSID60210461)	137506062338	202.155	20	567749658022441349	567749455127170566	80
1	1	0.34006203645550687	0.34006203645550687	-176.00358478112946	nul	23.368	C6H13NO9S2	[M - H4O2 + H]+	C6H10NO7S2+	REYQUIIBHHLMAX	InChI=1S/C6H13NO9S2/c8-2-6(7-1-5(11)12,17(13,14)3-9)18(15,16)4-10/h7-10H,1-4H2,(H,11,12)	2-[[2-Hydroxy-1,1-bis(hydroxymethylsulfonyl)ethyl]amino]acetic acid	C(C(=O)O)NC(CO)(S(=O)(=O)CO)S(=O)(=O)CO	-5.900	87898170	PUBCHEM:(87898170)	2	271.990	20	567749670508884682	567749455181696522	85
1	1	0.33456192828945747	0.33456192828945747	-66.04292391536701	nul	88.953	C14H23N3O8	[M + H]+	C14H24N3O8+	VLOYGOZDPGYWFO	InChI=1S/C14H23N3O8/c1-6(2)11(15)13(23)17-8(5-10(20)21)12(22)16-7(14(24)25)3-4-9(18)19/h6-8,11H,3-5,15H2,1-2H3,(H,16,22)(H,17,23)(H,18,19)(H,20,21)(H,24,25)	2-[[2-[(2-Amino-3-methylbutanoyl)amino]-3-carboxypropanoyl]amino]pentanedioic acid	CC(C)C(C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O)N	-3.900	101586345;18232275	PUBCHEM:(101586345 18232275);CHEBI:(166119)	34	362.156	22	567749670781514453	567749455332691474	99
1	1	0.23037249740399954	0.23037249740399954	-69.56930697559217	nul	83.412	C5H8O2S	[M + H]+	C5H9O2S+	BSNQHVPRAPQLSW	InChI=1S/C5H8O2S/c6-5(7)4-1-2-8-3-4/h4H,1-3H2,(H,6,7)	Thiolane-3-carboxylic acid	C1CSCC1C(=O)O	0.500	154053244;58071244;13581851;13581852	PUBCHEMANNOTATIONBIO;PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(154053244 58071244 13581851 13581852)	83886082	133.032	21	567749665979036250	567749455475297818	129
1	1	0.9459554408870529	0.9632608638872048	-14.018157319727475	nul	79.813	C5H11NO2S	[M + H]+	C5H12NO2S+	FFEARJCKVFRZRR	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	Hmet	CSCCC(C(=O)O)N	-0.380	101064246;101132627;101151584;101151585;58618342;162370937;6992087;6992109;53462885;155899125;155899126;15556483;15556484;15556486;15556487;15556488;15556489;15556490;15556492;15556493;15556496;15556497;15556498;15556500;15556501;15556502;15556503;16057251;5249997;5255805;16213430;16217582;5460884;5460888;5460889;5460891;5460892;126455849;135373086;53796132;129646641;124202795;137331793;102185300;101611382;102217574;102468411;162642120;162642121;162642122;160448857;56629559;91870362;10176215;10219537;88472549;150150636;143171935;165359014;90704993;90714884;153693901;153694816;153695641;153709934;153711685;153777191;153810792;131707341;131708677;131708710;123729319;158013401;158383558;10511090;10630758;10773221;10844642;88901898;88901901;88901910;876;6137;84815;169695;174768;450576;91338150;117064443;117064844;11789360;11804952;164674410;164674411;71308865;71308866;71308867;71308933;71308948;71309197;71311580;57616905;57616936;57616953	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000696 HMDB0033951);MiMeDB:(MMDBc0000140 MMDBc0000286);BloodExposome:(876 84815 6137);PUBCHEMANNOTATIONSAFETYANDTOXIC;HSDB:(63-68-3);SUPERNATURAL:(SN0084069);MESH:(876 6137 84815 15556483);PUBCHEM:(101064246 101132627 101151584 101151585 58618342 162370937 6992087 6992109 53462885 155899125 155899126 15556483 15556484 15556486 15556487 15556488 15556489 15556490 15556492 15556493 15556496 15556497 15556498 15556500 15556501 15556502 15556503 16057251 5249997 5255805 16213430 16217582 5460884 5460888 5460889 5460891 5460892 126455849 135373086 53796132 129646641 124202795 137331793 102185300 101611382 102217574 102468411 162642120 162642121 162642122 160448857 56629559 91870362 10176215 10219537 88472549 150150636 143171935 165359014 90704993 90714884 153693901 153694816 153695641 153709934 153711685 153777191 153810792 131707341 131708677 131708710 123729319 158013401 158383558 10511090 10630758 10773221 10844642 88901898 88901901 88901910 876 6137 84815 169695 174768 450576 91338150 117064443 117064844 11789360 11804952 164674410 164674411 71308865 71308866 71308867 71308933 71308948 71309197 71311580 57616905 57616936 57616953);FooDB:(FDB012166 FDB012683);GNPS:(CCMSLIB00003139371);NORMAN:(NS00006428 NS00068567 NS00079639 NS00088663);COCONUT:(CNP0217457);METACYC:(CPD-218 GLYCO-CT-PYR MET);CHEBI:(16643 32637 32644 32646 32632 16867 57844 32638 16811 32631 192080 57932 64558);PLANTCYC:(MET);KEGG:(C01733 C00855 C00073);YMDB:(YMDB00816 YMDB00318);LOTUS:(Q27093862 Q180341 Q22124685);DSSTox:(DTXSID00583944 DTXSID10975715 DTXSID301308345 DTXSID30237908 DTXSID30574087 DTXSID30745710 DTXSID40431036 DTXSID40433111 DTXSID5040548 DTXSID50956841 DTXSID70962025 DTXSID801317450 DTXSID9020821 DTXSID90574088 DTXSID90883369);PUBCHEMANNOTATIONDRUG;KNAPSACK:(FFEARJCKVFRZRR-UHFFFAOYSA-N);PUBMED;PUBCHEMANNOTATIONFOOD	156757343102	150.058	21	567749677391737799	567749455626292770	132
1	1	0.06263949813905156	0.06263949813905156	-83.84984775643625	nul	25.994	C5H11NO2S	[M + Na]+	C5H11NNaO2S+	YCTRDJGHVGMYAO	InChI=1S/C5H11NO2S/c6-3-5-1-2-9(7,8)4-5/h5H,1-4,6H2	3-(Aminomethyl)tetrahydrothiophene 1,1-dioxide	C1CS(=O)(=O)CC1CN	-1.000	7059070;7059071;7059072;7059073;3408789;2772225	PUBCHEM:(7059070 7059071 7059072 7059073 3408789 2772225);DSSTox:(DTXSID00378195 DTXSID70461200);PUBCHEMANNOTATIONSAFETYANDTOXIC;TRAIN;PUBMED	137506078786	172.040	20	567749654180458808	567749455676624422	134
1	1	0.4243360206387542	0.4243360206387542	-97.74351776133616	nul	43.481	C8H16N2O3	[M + H]+	C8H17N2O3+	HSRXSKHRSXRCFC	InChI=1S/C8H16N2O3/c1-4(2)6(9)7(11)10-5(3)8(12)13/h4-6H,9H2,1-3H3,(H,10,11)(H,12,13)	(2S)-2-[(2-amino-3-methylbutanoyl)amino]propanoic acid	CC(C)C(C(=O)NC(C)C(=O)O)N	-0.508	154501839;6992637;6992638;78972393;61174378;152752932;79012483;79013159;79013337;334517;61578984;44369285;44373807	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029120);METACYC:(CPD-23024);BloodExposome:(334517);CHEBI:(75008);SUPERNATURAL:(SN0134401);PUBCHEM:(154501839 6992637 6992638 78972393 61174378 152752932 79012483 79013159 79013337 334517 61578984 44369285 44373807);FooDB:(FDB112122);LOTUS:(Q82075414 Q27145065);DSSTox:(DTXSID50319114 DTXSID60426328);PUBMED	138266290282	189.123	21	567749673004495650	567749455722761770	144
1	1	0.2450885484844572	0.2450885484844572	-218.1807978831363	nul	75.338	C11H14N4O3	[M + H]+	C11H15N4O3+	BDWNTPYPXXEDAP	InChI=1S/C11H14N4O3/c16-9-4-3-7(13-9)11-14-8(15-18-11)5-12-10(17)6-1-2-6/h6-7H,1-5H2,(H,12,17)(H,13,16)	N-[[5-[(2S)-5-oxopyrrolidin-2-yl]-1,2,4-oxadiazol-3-yl]methyl]cyclopropanecarboxamide	C1CC1C(=O)NCC2=NOC(=N2)C3CCC(=O)N3	-1.000	146118335	SUPERNATURAL:(SN0022885);PUBCHEM:(146118335)	1048578	251.114	20	567749659855352256	567749455773093422	145
1	1	0.9222988733624239	0.9222988733624239	-163.7270623687514	nul	70.580	C12H21N5O5	[M + H]+	C12H22N5O5+	KLQXKYZBJWERSF	InChI=1S/C12H21N5O5/c1-6(18)16-8(3-5-10(14)20)12(22)17-7(11(15)21)2-4-9(13)19/h7-8H,2-5H2,1H3,(H2,13,19)(H2,14,20)(H2,15,21)(H,16,18)(H,17,22)	N-Acetylglutaminylglutamine amide	CC(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)N	-3.033	22673233;129914	PUBCHEMANNOTATIONBIO;METACYC:(CPD-14436);CHEBI:(177714);MESH:(129914);PUBCHEM:(22673233 129914);DSSTox:(DTXSID60924399);PUBCHEMANNOTATIONDRUG;PUBMED	137489287270	316.161	19	567749658408317332	567749455819230770	148
1	1	0.9427300352916252	0.9427300352916252	-20.58176822032358	nul	38.881	C9H18N2O4S	[M + H]+	C9H19N2O4S+	KAKJTZWHIUWTTD	InChI=1S/C9H18N2O4S/c1-5(12)7(9(14)15)11-8(13)6(10)3-4-16-2/h5-7,12H,3-4,10H2,1-2H3,(H,11,13)(H,14,15)	2-[[(2R)-2-amino-4-methylsulfanylbutanoyl]amino]-3-hydroxybutanoic acid	CC(C(C(=O)O)NC(=O)C(CCSC)N)O	-1.131	145453497;7021821;7021822;104907982;104965347;61156778;18218230;59502434	HMDB:(HMDB0028983);CHEBI:(174294 73614);SUPERNATURAL:(SN0180286);PUBCHEM:(145453497 7021821 7021822 104907982 104965347 61156778 18218230 59502434);FooDB:(FDB112003);LOTUS:(Q27141931);TRAIN	806379562	251.105	21	567749664112570912	567749455886339638	154
1	5	0.07906050723840649	0.07906050723840649	-116.7501019510503	nul	7.286	C9H9N5O	[M + Na]+	C9H9N5NaO+	OHURUUSZJHIVTO	InChI=1S/C9H9N5O/c10-8-7(9(11)15)12-13-14(8)6-4-2-1-3-5-6/h1-5H,10H2,(H2,11,15)	5-amino-1-phenyl-1H-1,2,3-triazole-4-carboxamide	C1=CC=C(C=C1)N2C(=C(N=N2)C(=O)N)N	0.800	253350	COCONUT:(CNP0028583);PUBCHEM:(253350);DSSTox:(DTXSID10942467);TRAIN;PUBMED	137441075266	226.069	21	567749664913682993	567749455953448506	159
1	1	0.19832597037425587	0.19832597037425587	-227.97625724065585	nul	84.316	C11H17N3O2	[M + H]+	C11H18N3O2+	SAAOFVWGGZSWSS	InChI=1S/C11H17N3O2/c1-14(2)6-5-12-8-10-7-9(11(15)16)3-4-13-10/h3-4,7,12H,5-6,8H2,1-2H3,(H,15,16)	2-[[2-(Dimethylamino)ethylamino]methyl]pyridine-4-carboxylic acid	CN(C)CCNCC1=NC=CC(=C1)C(=O)O	-2.500	73670709	PUBCHEMANNOTATIONBIO;PUBCHEM:(73670709)	16777218	224.139	21	567749662074139114	567749456012168766	167
1	1	0.9568800674062404	0.9568800674062404	-128.2657765623977	nul	81.191	C15H23N5O4	[M + H]+	C15H24N5O4+	XTWSWDJMIKUJDQ	InChI=1S/C15H23N5O4/c16-11(2-1-7-19-15(17)18)13(22)20-12(14(23)24)8-9-3-5-10(21)6-4-9/h3-6,11-12,21H,1-2,7-8,16H2,(H,20,22)(H,23,24)(H4,17,18,19)	2-{2-amino-5-[(diaminomethylidene)amino]pentanamido}-3-(4-hydroxyphenyl)propanoic acid	C1=CC(=CC=C1CC(C(=O)O)NC(=O)C(CCCN=C(N)N)N)O	-0.703	7021455;7021456;124417423;124417424;13017549;13017550;68868452	COCONUT:(CNP0347398);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028721);BloodExposome:(7021456);CHEBI:(73822);SUPERNATURAL:(SN0440007);PUBCHEM:(7021455 7021456 124417423 124417424 13017549 13017550 68868452);FooDB:(FDB111778);DSSTox:(DTXSID90427363);PUBMED	137999949930	338.182	23	567749682018055218	567749456075083330	169
1	1	0.9649278160040936	0.9649278160040936	-124.45486792682823	nul	70.007	C10H16N2O5	[M + H]+	C10H17N2O5+	QLROSWPKSBORFJ	InChI=1S/C10H16N2O5/c13-8(14)4-3-7(10(16)17)12-9(15)6-2-1-5-11-6/h6-7,11H,1-5H2,(H,12,15)(H,13,14)(H,16,17)	2-[(pyrrolidin-2-yl)formamido]pentanedioic acid	C1CC(NC1)C(=O)NC(CCC(=O)O)C(=O)O	-0.700	7048509;104901033;61159815;61160308;1629513;1629514;194260;3563697;44369016	COCONUT:(CNP0371576);HMDB:(HMDB0029016);CHEBI:(74762);SUPERNATURAL:(SN0308869);MESH:(194260);PUBCHEM:(7048509 104901033 61159815 61160308 1629513 1629514 194260 3563697 44369016);FooDB:(FDB112031);LOTUS:(Q27144887);DSSTox:(DTXSID70987011);PUBMED	138247413870	245.113	20	567749676208944005	567749456142192198	170
1	1	0.5387694761560379	0.6623266257596853	-61.14874103535827	nul	15.452	C6H11NO4	[M + Na]+	C6H11NNaO4+	PEDXUVCGOLSNLQ	InChI=1S/C6H11NO4/c1-3(8)5(6(10)11)7-4(2)9/h3,5,8H,1-2H3,(H,7,9)(H,10,11)	2-Deuterio-2-[deuterio-(2,2,2-trideuterioacetyl)amino]-3-hydroxybutanoic acid	CC(C(C(=O)O)NC(=O)C)O	-1.028	118662501;40492289;40492292;163322381;87928836;4651717;7349658;15341574;146236562;142386423;11062687;153278975;152204;78474564;133638086;18603708	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0062557);MiMeDB:(MMDBc0000488);METACYC:(CPD-20330);BloodExposome:(152204);CHEBI:(45826 133549);MESH:(152204);PUBCHEM:(118662501 40492289 40492292 163322381 87928836 4651717 7349658 15341574 146236562 142386423 11062687 153278975 152204 78474564 133638086 18603708);DSSTox:(DTXSID80168975 DTXSID80453757);PUBCHEMANNOTATIONDRUG;PUBMED	138567231598	184.058	20	567749690729624894	567749456192523850	173
1	1	0.08927635440213924	0.1351986483047871	-247.72191228193225	nul	50.154	C10H18N2O5	[M + Na]+	C10H18N2NaO5+	DVCSNHXRZUVYAM	InChI=1S/C10H18N2O5/c1-5(2)3-6(11)9(15)12-7(10(16)17)4-8(13)14/h5-7H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)	2-[[(2R)-2-amino-4-methylpentanoyl]amino]butanedioic acid	CC(C)CC(C(=O)NC(CC(=O)O)C(=O)O)N	-0.907	7019086;7019087;92223551;3328705;88207316;104903824;81645676	HMDB:(HMDB0028925);METACYC:(CPD-20382);BloodExposome:(3328705);CHEBI:(74332);SUPERNATURAL:(SN0076296);PUBCHEM:(7019086 7019087 92223551 3328705 88207316 104903824 81645676);FooDB:(FDB098210);DSSTox:(DTXSID60427072);PUBCHEMANNOTATIONDRUG	138014631978	269.112	21	567749661222695391	567749456268021326	174
1	1	0.24464672273903096	0.24464672273903096	-250.9167619096482	nul	49.672	C11H12N4O2	[M + H]+	C11H13N4O2+	NUZFZZOVBJUJQN	InChI=1S/C11H12N4O2/c1-3-5-14-9-8(12-7-13-9)10(16)15(6-4-2)11(14)17/h3-4,7H,1-2,5-6H2,(H,12,13)	1,3-Diallyl-3,7-dihydro-purine-2,6-dione	C=CCN1C2=C(C(=O)N(C1=O)CC=C)NC=N2	0.744	22995178	PUBCHEMANNOTATIONBIO;PUBCHEM:(22995178);PUBMED	16777282	233.103	21	567749676146029434	567749456318352978	178
